specimen,min_ma,max_ma
Burmomyrma_rossi,93.5,99.6
Cananeuretus_occidentalis,70.6,83.5
Archaeopone_kzylzharica,89.8,93.9
Archaeopone_taylori,70.6,83.5
Armania,89.8,93.9
Armania_capitata,89.8,93.9
Armania_curiosa,70.6,83.5
Armania_pristina,89.8,93.9
Armania_robusta,70.6,83.5
Dolichomyrma_latipes,89.8,93.9
Dolichomyrma_longiceps,89.8,93.9
Khetania_mandibulata,89.8,93.9
Orapia_minor,89.8,93.9
Orapia_rayneri,89.8,93.9
Poneropterus_sphecoides,70.6,83.5
Pseudarmania_aberrans,70.6,83.5
Pseudarmania_rasnitsyni,70.6,83.5
Brownimecia_clavata,89.8,93.9
Chronomyrmex_medicinehatensis,70.6,83.5
Eotapinoma_macalpini,70.6,83.5
Canapone_dentata,70.6,83.5
Kyromyrma_neffi,89.8,93.9
